fsq_place_id,name,address,latitude,longitude,country_code
4dde0f681f6e0369473aac6e,Märkisches Landbrot,"Bergiusstraße 36, 12057 Berlin",52.46265266,13.45813607,DE
4e79071aae60f8128c6d2743,NUR Gemüse-Kebap,"Hermannstr. 113 (auf der S-Bahnbrücke), 12051 Berlin",52.46702701,13.43144754,DE
4e11f8a3d4c07597ff853766,Casa Montella,"Krokusstr. 80, 12357 Berlin",52.4215828,13.4945055,DE
4d9c8a3d7865a0930e0dd37a,Pho Phan,"Hermannstr. 151, 12051 Berlin",52.46559242,13.43269541,DE
529b562111d248489a0afea9,Asude,"Hermannstraße 120, 12051 Berlin",52.46558935,13.43181533,DE
50fc4395e4b084af5edb832e,Loislane,"Emser Str. 41, 12051 Berlin",52.46843026,13.42968415,DE
4c34606a7cc0c9b68c2af39a,Vux,"Wipperstr. 14 (Kirchhofstr.), 12055 Berlin",52.47215815,13.44250739,DE
4e7793c48130fa6bd3b581ff,Nini e Pettirosso,"Selkestr. 27, 12051 Berlin",52.470317,13.43698,DE
4ed29522e3007feb8019214b,Estrel Stube,"Sonnenallee 225, 12057 Berlin",52.47332368,13.45893761,DE
50ce405fe4b0aceb60754dbc,Meraklı Köfteci,"Hermannstr. 174, 12051 Berlin",52.47110178,13.42974066,DE
57849261498e1186f9a6c827,Kønigliche Backstube,"Zwiestädter Str.10, 12055 Berlin",52.47329819,13.44770067,DE
4e46d1d5d22d12b08bc6fbcd,Vecchia Cantina,"Alt-Rudow 43a, 12357 Berlin",52.41919131,13.49411481,DE
52a0d95211d292d2566b9a0c,Café Amalia,"Selkestr. 27 (Nogastr.), 12051 Berlin",52.47006459,13.43670685,DE
5dadd8f81d39a200081c8ab1,Viet Bowl,"Böhmische Str. 13 (Niemetzstr.), 12055 Berlin",52.473618,13.449675,DE
5b375828ca18ea002c26372d,21 Gramm,"Hermannstr. 179 (Thomasstr.), 12049 Berlin",52.472125,13.429082,DE
5b2e831c724750002c4e7540,Zosse,"Richardstrasse 37, 12055 Berlin",52.47491803,13.44369395,DE
571b5777498eba1f339da072,Hallmann und Klee,"Böhmische Str. 13, 12055 Berlin",52.47387512,13.44951659,DE
57d586f4498e04744340dec1,BONA Kollektiv,"Hermannstr. 178, 12051 Berlin",52.47173129,13.42933045,DE
514f920cb0edeef407181936,Ω Bar,"Wipperstr. 18 (Schöneweider Str.), 12055 Berlin",52.47151382,13.44317435,DE
555a417c498e52b9e12fe3a8,Keith Bar,"Schillerpromenade 2, 12049 Berlin",52.47823242,13.42146277,DE
54947dfe498e91fedc33ed21,Beuster Bar,"Weserstr. 32 (Weichselstr.), 12045 Berlin",52.48584459,13.43546064,DE
